,Image,building,car,crop,door,field,ground,mountain,road,rocky,sand,sea,sidewalk,sign,sky,skyscraper,snowy,tree,trunk,water,window
1781,opencountry_land690.jpg,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
991,insidecity_art1039.jpg,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
1580,mountain_sharp21.jpg,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0
1613,mountain_sharp73.jpg,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
2038,opencountry_tell67.jpg,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
1396,mountain_n266020.jpg,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
1130,insidecity_gre262.jpg,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1581,mountain_sharp22.jpg,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
1140,insidecity_gre511.jpg,1,1,1,1,0,1,1,1,0,0,0,0,0,1,0,0,1,0,0,1
1276,mountain_land165.jpg,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0
2528,tallbuilding_art442.jpg,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
2191,street_par1.jpg,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
1989,opencountry_natu734.jpg,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0
1695,opencountry_land351.jpg,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
1824,opencountry_n18011.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
182,coast_n739047.jpg,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0
1826,opencountry_n18026.jpg,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
571,forest_nat450.jpg,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0
317,coast_natu908.jpg,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0
1636,opencountry_cdmc712.jpg,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
1700,opencountry_land359.jpg,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
2468,tallbuilding_art1589.jpg,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
1460,mountain_nat1046.jpg,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1
1887,opencountry_nat190.jpg,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
40,coast_cdmc889.jpg,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
2344,tallbuilding_a244068.jpg,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0
751,highway_bost173.jpg,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0
628,forest_natu707.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
2020,opencountry_open47.jpg,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0
244,coast_nat807.jpg,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0
2450,tallbuilding_art1357.jpg,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
1671,opencountry_land147.jpg,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
2183,street_hexp22.jpg,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
1883,opencountry_nat1263.jpg,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
993,insidecity_art1044.jpg,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
652,forest_text102.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0
2360,tallbuilding_a462057.jpg,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
1608,mountain_sharp68.jpg,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
1833,opencountry_n199000.jpg,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
2388,tallbuilding_a526079.jpg,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0
472,forest_land222.jpg,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
1022,insidecity_art1528.jpg,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1406,mountain_n344053.jpg,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0
1747,opencountry_land605.jpg,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
1954,opencountry_natu506.jpg,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
2117,street_boston263.jpg,1,1,1,0,0,0,0,1,0,0,0,1,1,1,0,0,1,1,0,0
107,coast_n199065.jpg,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0
120,coast_n203071.jpg,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0
2236,street_par20.jpg,1,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1
1917,opencountry_nat802.jpg,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0
316,coast_natu901.jpg,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0
2249,street_par52.jpg,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
118,coast_n203066.jpg,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,1,0
663,forest_text20.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2592,tallbuilding_sky17.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0
1175,insidecity_hous83.jpg,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1
169,coast_n672000.jpg,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
1502,mountain_nat445.jpg,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0
1087,insidecity_art903.jpg,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
2342,tallbuilding_a244043.jpg,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0
395,forest_cdmc359.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2511,tallbuilding_art306.jpg,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0
1263,mountain_land11.jpg,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
1993,opencountry_natu790.jpg,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0
201,coast_nat1208.jpg,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
1241,insidecity_urb747.jpg,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
1506,mountain_nat494.jpg,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0
1206,insidecity_urb307.jpg,1,1,1,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1
839,highway_gre400.jpg,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0
1579,mountain_sharp20.jpg,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
1599,mountain_sharp52.jpg,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
703,highway_art250.jpg,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0
1901,opencountry_nat599.jpg,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0
2338,tallbuilding_a223039.jpg,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
1471,mountain_nat116.jpg,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
148,coast_n295051.jpg,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0
2610,tallbuilding_urb325.jpg,1,1,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0
376,forest_cdmc284.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
2213,street_par150.jpg,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1
2044,street_a79094.jpg,1,1,1,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1
2472,tallbuilding_art1618.jpg,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
1191,insidecity_par189.jpg,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
806,highway_bost332.jpg,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
344,coast_sun3.jpg,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
2400,tallbuilding_a805043.jpg,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0
2655,tallbuilding_urban1210.jpg,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
18,coast_bea4.jpg,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0
799,highway_bost323.jpg,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0
275,coast_natu604.jpg,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0
2382,tallbuilding_a487085.jpg,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0
21,coast_cdmc1000.jpg,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0
1016,insidecity_art1364.jpg,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,coast_cdmc989.jpg,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
2441,tallbuilding_art1228.jpg,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2598,tallbuilding_sky30.jpg,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
2591,tallbuilding_sky13.jpg,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
2518,tallbuilding_art360.jpg,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
683,forest_text75.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
775,highway_bost299.jpg,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0
198,coast_nat1177.jpg,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
2186,street_hexp29.jpg,1,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0
1820,opencountry_moun8.jpg,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
1258,mountain_cdmc181.jpg,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
98,coast_land812.jpg,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0
615,forest_natu402.jpg,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0
2099,street_bost56.jpg,1,1,0,0,0,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0
1174,insidecity_hous79.jpg,0,1,1,1,0,1,1,1,0,0,0,1,0,1,0,0,1,0,0,1
26,coast_cdmc830.jpg,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0
1897,opencountry_nat511.jpg,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
1227,insidecity_urb515.jpg,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
2199,street_par116.jpg,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
885,highway_gre532.jpg,0,1,0,0,1,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0
1550,mountain_natu466.jpg,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
334,coast_sun1.jpg,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0
2440,tallbuilding_art1183.jpg,1,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1
2379,tallbuilding_a487070.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0
1287,mountain_land201.jpg,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
192,coast_nat1125.jpg,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,1,0
1254,insidecity_urban1068.jpg,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
88,coast_land367.jpg,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
846,highway_gre409.jpg,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
17,coast_bea39.jpg,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0
125,coast_n238045.jpg,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0
936,highway_urb710.jpg,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
855,highway_gre426.jpg,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
81,coast_land296.jpg,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0
967,insidecity_a463022.jpg,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1
1852,opencountry_n295006.jpg,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
1329,mountain_moun10.jpg,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
1834,opencountry_n213027.jpg,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0
2471,tallbuilding_art1617.jpg,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
2184,street_hexp23.jpg,1,1,1,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,1
2494,tallbuilding_art1748.jpg,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
256,coast_nat901.jpg,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
1823,opencountry_n18003.jpg,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0
1325,mountain_land880.jpg,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0
842,highway_gre404.jpg,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0
2017,opencountry_open37.jpg,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0
2536,tallbuilding_art523.jpg,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0
1626,mountain_ski69.jpg,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0
1115,insidecity_boston361.jpg,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
394,forest_cdmc358.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
2135,street_boston396.jpg,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,1
1388,mountain_n219007.jpg,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
327,coast_open13.jpg,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0
2638,tallbuilding_urban1048.jpg,1,1,0,0,0,1,0,1,0,0,0,1,0,1,1,0,1,0,0,0
328,coast_open60.jpg,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
213,coast_nat288.jpg,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0
2257,street_par72.jpg,1,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0
1443,mountain_n736023.jpg,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
465,forest_for96.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
346,coast_sun32.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
1278,mountain_land172.jpg,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
1760,opencountry_land651.jpg,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0
2096,street_bost45.jpg,1,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0,1,0,0,0
738,highway_bost160.jpg,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0
276,coast_natu619.jpg,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0
848,highway_gre410.jpg,0,1,0,0,1,1,1,1,0,0,0,0,1,1,0,0,1,0,0,0
1313,mountain_land479.jpg,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,1,0
1445,mountain_n736029.jpg,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0
1186,insidecity_par139.jpg,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
1003,insidecity_art1161.jpg,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0
1952,opencountry_natu454.jpg,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2169,street_gre214.jpg,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
268,coast_natu399.jpg,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,1,0
2047,street_art1041.jpg,1,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1
320,coast_natu919.jpg,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
374,forest_cdmc282.jpg,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
2417,tallbuilding_archi317.jpg,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
1632,opencountry_cdmc276.jpg,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
673,forest_text42.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
2520,tallbuilding_art385.jpg,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
814,highway_bost393.jpg,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
1893,opencountry_nat457.jpg,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
836,highway_gre36.jpg,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0
1103,insidecity_bost55.jpg,1,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,1
2170,street_gre219.jpg,1,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1
1787,opencountry_land703.jpg,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
2578,tallbuilding_city56.jpg,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
1250,insidecity_urb981.jpg,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
1015,insidecity_art1363.jpg,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
262,coast_nat921.jpg,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0
1946,opencountry_natu384.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
1452,mountain_n841059.jpg,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,1
1541,mountain_nat92.jpg,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
217,coast_nat462.jpg,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
1818,opencountry_moun36.jpg,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
1350,mountain_n18070.jpg,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
145,coast_n291076.jpg,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0
1203,insidecity_urb267.jpg,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
1645,opencountry_fie12.jpg,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
191,coast_nat1112.jpg,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0
2416,tallbuilding_archi296.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
901,highway_gre657.jpg,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
704,highway_art252.jpg,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0
60,coast_cdmc969.jpg,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0
822,highway_gre140.jpg,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0
1466,mountain_nat11.jpg,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
2559,tallbuilding_boston210.jpg,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
2454,tallbuilding_art1392.jpg,1,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0
1373,mountain_n213065.jpg,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0
1020,insidecity_art1486.jpg,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1
2381,tallbuilding_a487082.jpg,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
1967,opencountry_natu55.jpg,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,1,0
2402,tallbuilding_a805085.jpg,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0
1338,mountain_n18009.jpg,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0
684,forest_text81.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
2039,opencountry_urb969.jpg,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0
2246,street_par42.jpg,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1
294,coast_natu791.jpg,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0
1918,opencountry_nat811.jpg,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0
1735,opencountry_land557.jpg,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
1069,insidecity_art700.jpg,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1
2336,tallbuilding_a212044.jpg,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0
870,highway_gre479.jpg,1,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0
1006,insidecity_art1167.jpg,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
364,forest_bost103.jpg,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0
718,highway_art773.jpg,1,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0
